ideas = {
    country = {
	GUI_collapse_economy = {
	 picture = FRA_destroyed_economy
	 modifier = {
	 stability_factor = -0.3
	 production_speed_buildings_factor = -0.5
     consumer_goods_factor = 0.4	 
	  }
	  }
	GUI_low_legitimacy = {
	 picture = 	UVS_post_poverty
	 modifier = {
	 stability_factor = -0.2
	 conscription_factor = -0.3
     consumer_goods_factor = 0.1	 
	  }
	  }
	GUI_low_army = {
	 picture = FGB_in_defense_of_the_vaterland
	 modifier = {
	 army_attack_factor = -0.5
	 army_core_attack_factor = -0.1
     army_attack_speed_factor = -0.5
     army_defence_factor = -0.5
     army_morale = -10	 
	  }
	  }
	  
	  GUI_collapse_economy1 = {
	 picture = FRA_destroyed_economy
	 modifier = {
	 stability_factor = -0.2
	 production_speed_buildings_factor = -0.4
     consumer_goods_factor = 0.3	 
	  }
	  }
	  
	    GUI_collapse_economy2 = {
	 picture = FRA_destroyed_economy
	 modifier = {
	 stability_factor = -0.1
	 production_speed_buildings_factor = -0.3
     consumer_goods_factor = 0.2	 
	  }
	  }
	  
	    GUI_collapse_economy3 = {
	 picture = FRA_destroyed_economy
	 modifier = {
	 stability_factor = -0.05
	 production_speed_buildings_factor = -0.25
     consumer_goods_factor = 0.2	 
	  }
	  }
	  
	     GUI_collapse_economy4 = {
	 picture = FRA_destroyed_economy
	 modifier = {
	 stability_factor = -0.04
	 production_speed_buildings_factor = -0.2
     consumer_goods_factor = 0.2	 
	  }
	  }
	  
	  GUI_ask = {
	 picture = FRA_destroyed_economy
	 modifier = {
	 production_speed_buildings_factor = -0.1
     consumer_goods_factor = 0.3	 
	  }
	  }
	  
	  GUI_collapse_economy5 = {
	 picture = FRA_destroyed_economy
	 modifier = {
	 stability_factor = -0.02
	 production_speed_buildings_factor = -0.1
     consumer_goods_factor = 0.1	 
	  }
	  }
	  
	  GUI_good_economy = {
	 picture = ENG_economic_turmoil.dds
	 modifier = {
	 stability_factor = +0.2
	 production_speed_buildings_factor = +0.1
     consumer_goods_factor = -0.1	 
	  }
	  }
	  
	}
}
