l_russian:
 ### Events ###
 problem.1.t: "Конец Гражданской войны"
 problem.1.d: "Новый, 1922 год уже окончательно поставил точку в гражданской войне в России. Красная Армия дала слабину и белым крысам удалось ускользнуть за Дон и Урал. К счастью, Уральская Республика – наша главная заноза в заднице в деле революции, так же не обрадовалась гостям и вскоре власть попала в руки к местным само управленцам. \n\n Несомненно радует, что столь лакомый кусочек не достался безумному адмиралу. Как бы он не пытался, трусу и предателю Колчаку, засевшему по другую сторону Урала, не получится превратить её из безжизненной пустыни хоть во что-то, в то время как у нас под контролем индустриальный Центр России! \n\n Конечно, на юге всё ещё существует угроза в виде генерала Деникина. Ему удалось закрепиться на правом берегу Дона, где ему удастся прятаться от нас ещё какое-то время, пока мы будем поддержать наши силы в Киргизии под командованием Егорова Александра Ильича, чья 9-я армия бьётся насмерть с Алашской Автономией. \n\n Так ещё и мало того, произошло то, чего никто не ожидал. Михаил Тухачевский неожиданно пошёл против вышего командования РККА и начал маршировать на Берлин, несмотря на подписанный мир. И хоть прежде чем он это смог бы сделать, Германия развалилась, полностью вернуться под наше командование он отказался. Совершенно непонятно, что у Красного Наполеона на уме, но у него должна была быть достаточно везкая причина предать нас. \n\n В любом, случае лишь время покажет к чему всё это приведёт."
 problem.1.a: "Это только начало"
 
 problem.2.t: "Взгляд на светлую сторону"
 problem.2.d: "Николай II , так ненавистный народом всё ещё у нас, под охраной, мы не могли бы так легко потерять такой большой рычаг давления в виде царской семьи. Сторонники белых отчаянно пытаются его похитить, но безуспешно. ВЧК под контролем Железного Феникса справляется со своей работой максимально компетентно. \n\n  С такими лидерами и такой мощью красное знамя Советского Союза будет развеваться над всей Россией! И вёликий писатель Максим Горький увековечен это в своих стихах! Он, герой, который вдохновлял наших солдат на всех фронтах и внёс неощутимый вклад в победу над Антантой и Германией! \n\n Недалёкие империалисты надеялись на простую прогулку, но не кому не сломить армию простых рабочих и крестьян, ведь даже самая сильная военная машина империализма не сможет потушить огонь в сердцах людей которые сражаются за свободу! Именно благодаря силам народа на картах появилось первое в мире Социалистическое Государство. Рука Ленина привела нас сюда. И ничто другое не подтверждает правоту наших слов, как люди, ранее подчинённые тирании Белых, перешли на нашу сторону. Борис Савинков и даже сам Брусилов теперь у нас."
 problem.2.a: "Есть ещё много дел."
 
 problem.3.t: "XI Съезд РКП"
 problem.3.d: "И так господа, после того как закончилась гражданская война время трезво взглянуть на ситуацию и заняться решением проблем. Только вот перед их решением нужно уладить ещё несколько дел, которыми мы не могли заняться во время Гражданской Войны, дабы нам ничто не мешало по пути. \n\n Что же, время заняться этими самыми делами на внеочередном съезде РКП! Вперёд и с песней."
 problem.3.a: "И так, что у нас на повестке дня?"
 
 problem.4.t: "Наше отношение к религии"
 problem.4.d: "Революция закончилось, и жизнь начала постепенно приходить в нормальное русло. \n В том числе начали выбираться из своих нор имперские церковники, за которыми идут заблуждающие граждане, считающие что бог поможет им. Стоит ли "помочь" им или встать на их сторону? \n\n Быть может мы заблуждались на их счёт?"
 problem.4.a: "Возможно нам стоит пойти на компромис."
 problem.4.b: "Человек - привыше всего. И нет никого главнее! Не позволим пудрить голову простому люду. Мы сами будем решать свою судьбу."
 
 problem.5.t: "Вопрос Демократии"
